Unique event name,Series,Number,Date,YouTube,Guests,Title or name of stream
Livestream #011.0,Livestream,#011.0,12/16/2020,https://youtu.be/HSu9sDa6-BQ,,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events
Livestream #011.1,Livestream,#011.1,12/22/2020,https://youtu.be/xCqavxpiw44,,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events
Livestream #011.2,Livestream,#011.2,12/29/2020,https://youtu.be/gx9yAF607ko,,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events
Livestream #012.0,Livestream,#012.0,12/30/2020,https://youtu.be/qGQljJRCB0g,,2020 Review and 2021 Directions
Livestream #013.0,Livestream,#013.0,1/3/2021,https://youtu.be/8dPps0qLrp4,,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems
Livestream #013.1,Livestream,#013.1,1/5/2021,https://youtu.be/QG2gOoX4XdA,Adam Safron,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems
Livestream #013.2,Livestream,#013.2,1/12/2021,https://youtu.be/PyyHd4P8dbs,,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems
ModelStream #001.1,ModelStream,#001.1,1/15/2021,https://youtu.be/H5AolqFl2Nw,"Christopher Whyte,Ryan Smith",A step-by-step tutorial on active inference and its application to empirical data
Livestream #014.0,Livestream,#014.0,1/16/2021,https://www.youtube.com/watch?v=Uheml5XRCWk,,“The Math is not the Territory: Navigating the Free Energy Principle”
Livestream #014.1,Livestream,#014.1,1/19/2021,https://youtu.be/gQQyd8Hd3AA,,“The Math is not the Territory: Navigating the Free Energy Principle”
ModelStream #001.2,ModelStream,#001.2,1/22/2021,https://youtu.be/bDJbEofbvyk,"Christopher Whyte,Ryan Smith",A step-by-step tutorial on active inference and its application to empirical data
Livestream #014.2,Livestream,#014.2,1/26/2021,https://youtu.be/4Mu8lDqzBog,,“The Math is not the Territory: Navigating the Free Energy Principle”
Livestream #015.0,Livestream,#015.0,1/27/2021,https://youtu.be/6Z-6p1XPn8A,,"“Free-Energy Principle, Computationalism and Realism: a Tragedy"""
ModelStream #001.3,ModelStream,#001.3,1/29/2021,https://youtu.be/bDJbEofbvyk,"Christopher Whyte,Ryan Smith",A step-by-step tutorial on active inference and its application to empirical data
Livestream #015.1,Livestream,#015.1,2/2/2021,https://youtu.be/5VPKmVoRvRY,,"“Free-Energy Principle, Computationalism and Realism: a Tragedy"""
ModelStream #001.4,ModelStream,#001.4,2/5/2021,https://youtu.be/QRGaGmT-VFM,"Christopher Whyte,Ryan Smith",A step-by-step tutorial on active inference and its application to empirical data
Livestream #015.2,Livestream,#015.2,2/9/2021,https://youtu.be/iJp_Tm6Ej68,,"“Free-Energy Principle, Computationalism and Realism: a Tragedy"""
Livestream #016.0,Livestream,#016.0,2/11/2021,https://youtu.be/i13aBAWuJxk,,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”
Livestream #016.1,Livestream,#016.1,2/16/2021,https://youtu.be/P6LiF4gTfUo,,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”
Livestream #016.2,Livestream,#016.2,2/23/2021,https://youtu.be/93lAa-xEmHY,,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”
GuestStream #001.1,GuestStream,#001.1,2/24/2021,https://youtu.be/HZoZtiSwMvA,Majid D Beni,A critical analysis of Markovian monism
Roundtable 2021.1,Roundtable,2021.1,3/2/2021,https://youtu.be/jaw0QmAvAQU,,2021 Quarterly Roundtable #1
Livestream #017.0,Livestream,#017.0,3/3/2021,https://youtu.be/o7sJ-5vFJGk,,Information flow in context-dependent hierarchical Bayesian inference
Livestream #017.1,Livestream,#017.1,3/9/2021,https://youtu.be/ldg2An-tEIE,,Information flow in context-dependent hierarchical Bayesian inference
Livestream #017.2,Livestream,#017.2,3/16/2021,https://youtu.be/zF-EUnA-di4,,Information flow in context-dependent hierarchical Bayesian inference
Livestream #018.0,Livestream,#018.0,3/17/2021,https://youtu.be/1z1MHiHiYuM,,The predictive global neuronal workspace: A formal active inference model of visual consciousness
GuestStream #002.1,GuestStream,#002.1,3/18/2021,https://youtu.be/5oSqT8a6-dQ,Dimitris Bolis,‘I interact therefore I am’ Human becoming in and through social interaction
Livestream #018.1,Livestream,#018.1,3/23/2021,https://youtu.be/Y8Y4f-SEcsI,,The predictive global neuronal workspace: A formal active inference model of visual consciousness
MathStream #001.1,MathStream,#001.1,3/24/2021,https://youtu.be/1HKjMeEGLyY,Shanna Dobson,Emergent Time and Chromatic Types
Livestream #018.2,Livestream,#018.2,3/30/2021,https://youtu.be/Y8Y4f-SEcsI,,The predictive global neuronal workspace: A formal active inference model of visual consciousness
Livestream #019.0,Livestream,#019.0,4/1/2021,https://youtu.be/1FbOzAJ8CRQ,,Deeply Felt Affect: The Emergence of Valence in Deep Active Inference
Livestream #019.1,Livestream,#019.1,4/6/2021,https://youtu.be/SMQvRspIzpQ,,Deeply Felt Affect: The Emergence of Valence in Deep Active Inference
Livestream #021.01,Livestream,#021.01,4/6/2021,https://www.youtube.com/watch?v=z9ZCjd2rqGY,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
GuestStream #003.1,GuestStream,#003.1,4/7/2021,https://youtu.be/YS2X_oW6NrM,Sarah Hashkes,"Active Inference, VR, and Psychedelics"
Livestream #019.2,Livestream,#019.2,4/13/2021,https://youtu.be/z_hArARMQ20,,Deeply Felt Affect: The Emergence of Valence in Deep Active Inference
Livestream #021.02,Livestream,#021.02,4/13/2021,https://youtu.be/MlvyehPDQXg,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
GuestStream #004.1,GuestStream,#004.1,4/14/2021,https://youtu.be/qEkW4YsN5PY,Elliot Murphy,Natural language syntax complies with the free energy principle
Livestream #020.0,Livestream,#020.0,4/15/2021,https://youtu.be/1VTviUyntt8,,The Emperor’s New Markov Blankets [2020 version]
ModelStream #002.1,ModelStream,#002.1,4/16/2021,https://youtu.be/UDm0lriAIJw,"Noor Sajid,Phillip Ball",Active Inference: Demystified and Compared
Livestream #021.03,Livestream,#021.03,4/20/2021,https://youtu.be/idO34jucRIw,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
Livestream #020.1,Livestream,#020.1,4/20/2021,https://youtu.be/szCSh8pVEa4,,The Emperor’s New Markov Blankets [2020 version]
Livestream #021.04,Livestream,#021.04,4/27/2021,https://youtu.be/PakWPvu07OM,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
Livestream #020.2,Livestream,#020.2,4/27/2021,https://youtu.be/q3qBepJf3vA,,The Emperor’s New Markov Blankets [2020 version]
GuestStream #005.1,GuestStream,#005.1,4/28/2021,https://youtu.be/Sxst-xBTMvU,Martin Biehl,A technical critique of some parts of the Free Energy Principle
Livestream #021.1,Livestream,#021.1,5/4/2021,https://youtu.be/mbEqoCV16q4,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
MathStream #002.1,MathStream,#002.1,5/6/2021,https://youtu.be/RQb6wLWoYok,Shanna Dobson,Diamond Holographic Principle and D-Emergent Time
GuestStream #006.1,GuestStream,#006.1,5/10/2021,https://youtu.be/lwVIUz7O0jg,Anna Ciaunica,The First Prior: from Co-Embodiment to Co-Homeostasis in Early Life
Livestream #021.2,Livestream,#021.2,5/11/2021,https://youtu.be/i5WwQ4WXGNo,John Boik,"Science-Driven Societal Transformation, Part I: Worldview                                                 Science-Driven Societal Transformation, Part II: Motivation and Strategy                                                       Science-Driven Societal Transformation, Part III: Design"
Livestream #022.0,Livestream,#022.0,5/13/2021,https://youtu.be/bNB-7nQDdwM,,Psychophysical identity and free energy
Livestream #022.1,Livestream,#022.1,5/18/2021,https://youtu.be/v60cQUiu1NE,Alex Kiefer,Psychophysical identity and free energy
Livestream #022.2,Livestream,#022.2,5/25/2021,https://youtu.be/wiUDw6vk644,,Psychophysical identity and free energy
Livestream #023.0,Livestream,#023.0,5/27/2021,https://youtu.be/8JrGE02KzuY,,Embodied skillful performance: where the action is
ModelStream #003.1,ModelStream,#003.1,5/27/2021,https://youtu.be/G-S-kq42evw,"Ozan Catal ,Tim Verbelen",Learning Generative State Space Models for Active Inference
GuestStream #007.1,GuestStream,#007.1,5/28/2021,https://youtu.be/YjTD_Ifw_qA,"Miguel Aguilera,Christopher L. Buckley,Beren Millidge",How particular is the physics of the Free Energy Principle?
Roundtable 2021.2,Roundtable,"2021.2 ",6/1/2021,https://youtu.be/AUXWQzpr2x8,,2021 Quarterly Roundtable #2
Livestream #023.1,Livestream,#023.1,6/8/2021,https://youtu.be/PgzQrHSu1CU,,Embodied skillful performance: where the action is
MathStream #003.1,MathStream,#003.1,6/9/2021,https://youtu.be/bBE2w_BpuAw,"Shanna Dobson,Robert Prentner,Adam Safron",Shanna Dobson et al.
Livestream #023.2,Livestream,#023.2,6/15/2021,https://youtu.be/bjYUbKlfHUo,,Embodied skillful performance: where the action is
Livestream #024.0,Livestream,#024.0,6/16/2021,https://youtu.be/Fx7xWUU1MlI,,An empirical evaluation of active inference in multi-armed bandits
Applied Active Inference Symposium — Karl Friston 2021,Applied Active Inference Symposium,— Karl Friston 2021,6/21/2021,https://youtu.be/INRaCBikpso,Karl J Friston,"1st Applied Active Inference Symposium, part 1 (.edu)"
Applied Active Inference Symposium — Karl Friston 2021,Applied Active Inference Symposium,— Karl Friston 2021,6/21/2021,https://youtu.be/INRaCBikpso,Karl J Friston,"1st Applied Active Inference Symposium, part 2 (.comms)"
Applied Active Inference Symposium — Karl Friston 2021,Applied Active Inference Symposium,— Karl Friston 2021,6/21/2021,https://youtu.be/hW9IiOujS1E,Karl J Friston,"1st Applied Active Inference Symposium, part 3 (.tools)"
Livestream #024.1,Livestream,#024.1,6/22/2021,https://youtu.be/a089q9RaI14,,An empirical evaluation of active inference in multi-armed bandits
Livestream #024.2,Livestream,#024.2,6/29/2021,https://youtu.be/lqxl8w_JGek,,An empirical evaluation of active inference in multi-armed bandits
Livestream #025.0,Livestream,#025.0,7/1/2021,https://youtu.be/4JfGs_m5QHo,,The Computational Boundary of a “Self”: Developmental Bioelectricity Drives Multicellularity and Scale-Free Cognition
Livestream #025.1,Livestream,#025.1,7/6/2021,https://youtu.be/v0oJvbVuAF0,,The Computational Boundary of a “Self”: Developmental Bioelectricity Drives Multicellularity and Scale-Free Cognition
Livestream #025.2,Livestream,#025.2,7/15/2021,https://youtu.be/XSYxOt8CRDI,Michael Levin,The Computational Boundary of a “Self”: Developmental Bioelectricity Drives Multicellularity and Scale-Free Cognition
Roundtable 2021.3,Roundtable,2021.3,8/3/2021,https://youtu.be/hGoZierAPbU,,2021 Quarterly Roundtable #3
Livestream #026.0,Livestream,#026.0,8/6/2021,https://youtu.be/eZlG_J7sPj4,,Bayesian Mechanics for Stationary Processes
GuestStream #008.1,GuestStream,#008.1,8/9/2021,https://youtu.be/m8gUev5aVFs,"Mark Miller,Ines Hipolito,Julian Kiverstein",Exploring the Predictive Dynamics of Happiness and Well-Being
Livestream #026.1,Livestream,#026.1,8/10/2021,https://youtu.be/1rHz3Ir5v9c,"Lancelot Da Costa,Conor Heins",Bayesian Mechanics for Stationary Processes
Livestream #026.2,Livestream,#026.2,8/17/2021,https://youtu.be/SH2v6joMD4k,Lancelot Da Costa,Bayesian Mechanics for Stationary Processes
ModelStream #004.1,ModelStream,#004.1,8/19/2021,https://youtu.be/uePR4DQv0yI,"Dmitry Bagaev,Bert de Vries,Thijs W van de Laar",Implementing Active Inference by Message Passing in a Factor Graph
GuestStream #009.1,GuestStream,#009.1,8/20/2021,https://youtu.be/odkks5F9ZMM,"Rafael Kaufmann,Pranav Gupta",Collective intelligence and active inference
Livestream #027.0,Livestream,#027.0,8/23/2021,https://youtu.be/qw0SkhnHWWI,,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management
Livestream #027.1,Livestream,#027.1,8/24/2021,https://youtu.be/Oq2oM55OKzE,Stephen Fox,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management
Livestream #027.2,Livestream,#027.2,8/31/2021,https://youtu.be/MWWV3U-Llk4,Stephen Fox,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management
Livestream #028.0,Livestream,#028.0,9/6/2021,https://youtu.be/sjdjRJMRVfw,,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream #028.1,Livestream,#028.1,9/7/2021,https://youtu.be/eX5jt3HP27c,Lars Sandved-Smith,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream #028.2,Livestream,#028.2,9/14/2021,https://youtu.be/sEyNwzUuiII,,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream #029.0,Livestream,#029.0,9/17/2021,https://youtu.be/SNbfAkOokAI,,Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream #029.1,Livestream,#029.1,9/21/2021,https://www.youtube.com/watch?v=Z0fpX5Lpp0Y,Maxwell Ramstead,Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream #029.2,Livestream,#029.2,9/28/2021,https://youtu.be/Z4S5JVoeGBw,,Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream #030.0,Livestream,#030.0,10/1/2021,https://youtu.be/N3WUpVH8-D8,,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream #030.1,Livestream,#030.1,10/5/2021 7:00 AM,https://youtu.be/5H164LqEwiA,Matt Sims,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream #030.2,Livestream,#030.2,10/12/2021 7:00 AM,https://youtu.be/VXLNOfkH5Rg,,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream #031.0,Livestream,#031.0,10/14/2021 10:30 AM,https://youtu.be/imPNfqsHbjI,,Non-equilibrium thermodynamics and the free energy principle in biology
Livestream #031.1,Livestream,#031.1,10/19/2021 7:00 AM,https://youtu.be/4XR8mIw9gcc,,Non-equilibrium thermodynamics and the free energy principle in biology
GuestStream #011.1,GuestStream,#011.1,10/22/2021 10:00 AM,https://youtu.be/Zvwt-98kcFM,Gregg Henriques,The Ontology of Mental Behavior: Toward a Coherent Solution to the Problem of Psychology
GuestStream #012.1,GuestStream,#012.1,10/25/2021,https://youtu.be/zVvTAnRwigQ,Martin V Butz,"Event-Predictive Active Inference: Developing Conceptual, Compositional Cognition from Sensorimotor Experiences"
Livestream #031.2,Livestream,#031.2,10/26/2021,https://www.youtube.com/watch?v=GYJ0UC6ykxk&t=1906s,,Non-equilibrium thermodynamics and the free energy principle in biology
OrgStream #001.1,OrgStream,#001.1,10/28/2021,https://youtu.be/bUr87RcOQUQ,Richard Bartlett,Richard D. Bartlett
Roundtable 2021.4,Roundtable,2021.4,11/2/2021,https://youtu.be/j4dt5a1f30g,,2021 Quarterly Roundtable #4
Livestream #032.0,Livestream,#032.0,11/7/2021,https://youtu.be/7_JLMK3agpA,,Stochastic Chaos and Markov Blankets
GuestStream #013.1,GuestStream,#013.1,11/8/2021 12:00 PM,https://youtu.be/eVbWeWEX9dA,Adam Safron,ALtered Beliefs Under pSychedelics (ALBUS): A unified predictive processing framework for states of consciousness and their alterations
Livestream #032.1,Livestream,#032.1,11/9/2021,https://youtu.be/wqoeyrW2Yqg,,Stochastic Chaos and Markov Blankets
Livestream #032.2,Livestream,#032.2,11/16/2021,https://youtu.be/ElKVfCJrIHM,,Stochastic Chaos and Markov Blankets
Livestream #033.0,Livestream,#033.0,11/18/2021,https://youtu.be/iIfDvVRgsjQ,,Thinking like a State - Embodied intelligence in the deep history of our collective minds
GuestStream #010.1,GuestStream,#010.1,11/19/2021,https://youtu.be/Hvr-RgWZ7p4,Philip Gerrans,The Cotard Delusion: Case Study of the Cognitive Architecture of Self Representation. A Pilot without a vessel
Livestream #033.1,Livestream,#033.1,11/23/2021,https://youtu.be/LQuXltGQ8Xk,Avel Guénin-Carlut,Thinking like a State - Embodied intelligence in the deep history of our collective minds
Livestream #033.2,Livestream,#033.2,11/30/2021,https://youtu.be/S5nXqPysU3I,,Thinking like a State - Embodied intelligence in the deep history of our collective minds
Livestream #034.0,Livestream,#034.0,12/3/2021,https://youtu.be/Ga8EZMGO460,,"The free energy principle: it’s not about what it takes, it’s about what took you there"
Livestream #034.1,Livestream,#034.1,12/7/2021,https://youtu.be/JtXvkawQ1rY,,"The free energy principle: it’s not about what it takes, it’s about what took you there"
Twitter Spaces #001.1,Twitter Spaces,#001.1,12/9/2021,https://youtu.be/3SjbReGPZME,Krzysztof Woś,What is Buddha Mind? How does Active Inference relate?
Livestream #034.2,Livestream,#034.2,12/14/2021,https://youtu.be/vkZ_vnN0--Y,,"The free energy principle: it’s not about what it takes, it’s about what took you there"
Livestream #032.3,Livestream,#032.3,12/16/2021,https://youtu.be/-Y4OVfbxlMM,Conor Heins,Stochastic Chaos and Markov Blankets
Livestream 2021 Review,Livestream,2021 Review,12/23/2021,https://youtu.be/4hTT6fUTMM8,,End of 2021 Review
Livestream #035.0,Livestream,#035.0,1/4/2022,https://www.youtube.com/watch?v=e-Ck8sxCME0,,"A tale of two architectures free energy, its models, and modularity"
Livestream #035.1,Livestream,#035.1,1/5/2022,https://youtu.be/RoMCBXy-7E0,,"A tale of two architectures free energy, its models, and modularity"
GuestStream #014.1,GuestStream,#014.1,1/10/2022,https://youtu.be/mjL3cGYEMNg,Jorge E Esteves,"Osteopathy and Mental Health: An Embodied, Predictive, and Interoceptive Framework"
Livestream #035.2,Livestream,#035.2,1/12/2022,https://youtu.be/sQWSkDQvnqk,Majid D Beni,"A tale of two architectures free energy, its models, and modularity"
Livestream #036.0,Livestream,#036.0,1/13/2022,https://youtu.be/cOo4juE_zcI,,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
GuestStream #015.1,GuestStream,#015.1,1/18/2022,https://youtu.be/_JCaic5Cxms,Bobby Azarian,Universal Bayesianism: A New Kind of Theory of Everything
Livestream #036.1,Livestream,#036.1,1/19/2022,https://www.youtube.com/watch?v=YKn2njZ_ICg,,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
OrgStream #002.1,OrgStream,#002.1,1/21/2022,https://youtu.be/eUBT37LMlLo,Eugene Leventhal,Eugene Leventhal
GuestStream #016.1,GuestStream,#016.1,1/22/2022,https://youtu.be/NHfGuwoCXI8,Mark Solms,Consciousness as Precision Optimization: Some Physiological and Philosophical Considerations
Livestream #036.2,Livestream,#036.2,1/26/2022,https://youtu.be/Lo95GakwV5w,,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
ModelStream #005.1,ModelStream,#005.1,1/28/2022,https://youtu.be/GR07coJNPUE,"Pietro Mazzaglia,Tim Verbelen",Contrastive Active Inference
Livestream #037.1,Livestream,#037.1,2/2/2022,https://youtu.be/GHcpJ_bMuu4,Stephen Mann,Free Energy: A User's Guide
Livestream #037.0,Livestream,#037.0,2/2/2022,https://youtu.be/chpbMBgDR84,,Free Energy: A User's Guide
Livestream #037.2,Livestream,#037.2,2/9/2022,https://youtu.be/6WP7mY13lzc,,Free Energy: A User's Guide
Livestream #038.1,Livestream,#038.1,2/16/2022,https://youtu.be/azwqMjgfY8Y,,The evolution of brain architectures for predictive coding and active inference
Livestream #038.0,Livestream,#038.0,2/16/2022,https://youtu.be/cOo4juE_zcI,,The evolution of brain architectures for predictive coding and active inference
Livestream #038.2,Livestream,#038.2,2/23/2022,https://youtu.be/0OQx04x8-zA,,The evolution of brain architectures for predictive coding and active inference
Livestream #039.0,Livestream,#039.0,2/25/2022,https://youtu.be/yC-hgjv3ANk,,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
Livestream #039.1,Livestream,#039.1,3/2/2022,https://youtu.be/R4C_DgP_khY,,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
Livestream #039.2,Livestream,#039.2,3/9/2022,https://youtu.be/KbyPFR7xUDo,Franz Kuchling,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
GuestStream #017.1,GuestStream,#017.1,3/9/2022,https://youtu.be/aEYQCmFl1Bw,Mahault Albarracin,Epistemic Communities under Active Inference
Livestream #040.0,Livestream,#040.0,3/10/2022,https://youtu.be/-qZYxSbJ38E,,A free energy principle for generic quantum systems
GuestStream #018.1,GuestStream,#018.1,3/14/2022,https://youtu.be/9zq1JUnN_eg,"Ian Robertson,Michael Kirchhoff,Julian Kiverstein","The Literalist Fallacy & the Free Energy Principle: Model-building, Scientific Realism and Instrumentalism"
Livestream #040.1,Livestream,#040.1,3/17/2022,https://youtu.be/NkJKl_yF274,"James F Glazebrook,Karl J Friston,Chris Fields,Michael Levin",A free energy principle for generic quantum systems
Livestream #040.2,Livestream,#040.2,3/24/2022,https://youtu.be/Cgo-0UU848M,"Karl J Friston,Chris Fields,Michael Levin",A free energy principle for generic quantum systems
GuestStream #019.1,GuestStream,#019.1,3/25/2022,https://youtu.be/e_JGrt4jbhE,Marco Faccin,Extended Predictive Minds: do Markov Blankets Matter?
Roundtable 2022.1,Roundtable,2022.1,3/30/2022,https://youtu.be/ozuzf6Pvlyg,,2022 Quarterly Roundtable #1
Livestream #041.0,Livestream,#041.0,4/5/2022,https://youtu.be/VsOqIxNYpPQ,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream #041.1,Livestream,#041.1,4/6/2022,https://youtu.be/H6rjjPZE5hs,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream #041.2,Livestream,#041.2,4/13/2022,https://youtu.be/RB2axUYnE8I,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream #042.0,Livestream,#042.0,4/18/2022,https://youtu.be/Dl6v-3COgCo,,Robot navigation as hierarchical active inference
Livestream #042.1,Livestream,#042.1,4/20/2022,https://youtu.be/UUQIVqcI-yw,"Tim Verbelen,Adam Safron",Robot navigation as hierarchical active inference
GuestStream #020.1,GuestStream,#020.1,4/21/2022,https://youtu.be/SwUzTlGNI2A,Shannon Proksch,Coordination dynamics of multi‑agent interaction in a musical ensemble
GuestStream #021.1,GuestStream,#021.1,4/25/2022,https://youtu.be/_MH7E58zKxY,Adam Safron,A proposal for deflating deflationary accounts of free will; consciousness and the readiness to act
GuestStream #022.1,GuestStream,#022.1,4/26/2022,https://youtu.be/4VApGjFESlE,Anna Lembke,Dopamine Nation
Livestream #042.2,Livestream,#042.2,4/27/2022,https://youtu.be/IXJn-BMsKVw,Tim Verbelen,Robot navigation as hierarchical active inference
Livestream #043.0,Livestream,#043.0,5/2/2022,https://youtu.be/cLe-rBtRXiQ,,Predictive Coding: a Theoretical and Experimental Review
Livestream #043.1,Livestream,#043.1,5/4/2022,https://youtu.be/O4u8PRzk1vY,,Predictive Coding: a Theoretical and Experimental Review
"Parr, Pezzulo, Friston 2022 Textbook Cohort 1 Onboarding","Parr, Pezzulo, Friston 2022 Textbook",Cohort 1 Onboarding,5/5/2022,https://www.youtube.com/watch?v=ogV63M3uTlQ&list=PLNm0u2n1Iwdq74rPEYLx4VwYCI_QiXbEd,,"Textbook Group meeting for Parr, Pezzulo, Friston 2022."
Livestream #043.2,Livestream,#043.2,5/11/2022,https://youtu.be/X0Q6JLDYWJo,,Predictive Coding: a Theoretical and Experimental Review
"Parr, Pezzulo, Friston 2022 Textbook Cohort 1, Chapter 1","Parr, Pezzulo, Friston 2022 Textbook","Cohort 1, Chapter 1",5/12/2022,https://youtu.be/pJy1M1RnirA,,"Textbook Group meeting for Parr, Pezzulo, Friston 2022."
