Unique event name,Series,Number,Date,YouTube,Guests,Title or name of stream
Livestream #001.1,Livestream,#001.1,7/28/2020 10:00 AM,https://youtu.be/C94WDXAe4EE,,Narrative as active inference
Livestream #002.1,Livestream,#002.1,8/11/2020 10:00 AM,https://youtu.be/601-lt_8eVE,,Is the free-energy principle a formal theory of semantics? From variational density dynamics to neural and phenotypic representations
Livestream #003.1,Livestream,#003.1,8/25/2020,https://youtu.be/mz7L4GD5g-E,Jared Vasil,A World Unto Itself: Human Communication as Active Inference
Livestream #003.2,Livestream,#003.2,9/2/2020,https://youtu.be/ijuxHfPDd3U,,A World Unto Itself: Human Communication as Active Inference
Livestream #004.1,Livestream,#004.1,9/15/2020,https://youtu.be/Y6qx6C1tmjs,,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention
Livestream #004.2,Livestream,#004.2,9/22/2020,https://youtu.be/SAc1F1AWRAs,,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention
Livestream #005.0,Livestream,#005.0,9/27/2020,https://youtu.be/g2n47dPUyNY,,Multiscale integration: beyond internalism and externalism
Livestream #005.1,Livestream,#005.1,9/29/2020,https://youtu.be/B6Uqf_T-nec,,Multiscale integration: beyond internalism and externalism
Livestream #005.2,Livestream,#005.2,10/6/2020,https://youtu.be/V7yNq_KpHo8,,Multiscale integration: beyond internalism and externalism
Livestream #006.0,Livestream,#006.0,10/9/2020 7:00 AM,https://youtu.be/jHWCQ1dpoK0,,A tale of two densities: active inference is enactive inference
Livestream #006.1,Livestream,#006.1,10/13/2020 7:00 AM,https://youtu.be/9IIsoNMRSb8,Maxwell J D Ramstead,A tale of two densities: active inference is enactive inference
Livestream #006.2,Livestream,#006.2,10/20/2020 7:00 AM,https://youtu.be/y4tljwMAWho,Maxwell J D Ramstead,A tale of two densities: active inference is enactive inference
Livestream #007.0,Livestream,#007.0,10/23/2020 7:00 AM,https://youtu.be/7cJ8dmO3qlY,,Variational ecology and the physics of sentient systems
Livestream #007.1,Livestream,#007.1,10/27/2020 7:00 AM,https://youtu.be/72g62XJ-SpA,Maxwell J D Ramstead,Variational ecology and the physics of sentient systems
Livestream #007.2,Livestream,#007.2,11/3/2020,https://youtu.be/qf4S9bK5VKQ,Maxwell Ramstead,Variational ecology and the physics of sentient systems
Livestream #008.1,Livestream,#008.1,11/10/2020,https://youtu.be/zG0qP7un91k,,Scaling active inference
Livestream #008.0,Livestream,#008.0,11/14/2020,https://youtu.be/kXw1CPRkJCw,,Scaling active inference
Livestream #008.2,Livestream,#008.2,11/17/2020,https://youtu.be/gv8RuRiZTQA,Alec Tschantz,Scaling active inference
Livestream #009.0,Livestream,#009.0,11/18/2020,https://youtu.be/XnOfWFnN2iI,,The Projective Consciousness Model and Phenomenal Selfhood
Livestream #009.1,Livestream,#009.1,11/24/2020,https://youtu.be/pSWRTkmR8eg,,The Projective Consciousness Model and Phenomenal Selfhood
Livestream #009.2,Livestream,#009.2,12/1/2020,https://youtu.be/XYRKlh2c-ps,"David Rudrauf,Kenneth Williford",The Projective Consciousness Model and Phenomenal Selfhood
Livestream #010.0,Livestream,#010.0,12/2/2020,https://youtu.be/5DB77oxbABo,,A variational approach to scripts
Livestream #010.1,Livestream,#010.1,12/8/2020,https://youtu.be/3Sg1sAlgQaM,,A variational approach to scripts
Livestream #010.2,Livestream,#010.2,12/15/2020,https://youtu.be/IGKUS1W25rY,,A variational approach to scripts
